Special School List - 2011-2012,,,,,,,,,,,,,,,,
Enrolment as at 30th September 2011,,,,,,,,,,,,,,,,
County Name,Local Authority Desc,Roll No.,Official School Name,Address Line 1,Address Line 2,Address Line 3,Address Line 4,Phone Number,Ethos/Religion Desc,Island Ind (Y/N),Gaeltacht Ind (Y/N),Irish Classification Desc,Email Address, Boys, Girls,Total Pupils
Carlow,Carlow County Council,19315G,ST LASERIANS SPECIAL SC,CARLOW,CO. CARLOW,,,0599142601,CATHOLIC,N,N,No Irish,,93,58,151
Carlow,Carlow County Council,20370V,Saplings Carlow Special School,The Laurel's Barn,Church Road,Graigcullen,Carlow,,MULTI DENOMINATIONAL,N,N,No Irish,,9,1,10
Cavan,Cavan County Council,19439B,HOLY FAMILY S S,COOTEHILL,CO CAVAN,,,0495552257,CATHOLIC,N,N,No Irish,hfscootehill@eircom.net,81,44,125
Clare,Clare County Council,19233E,ST CLARES SPECIAL SCH,ENNIS,CO CLARE,,,0656821899,CATHOLIC,N,N,No Irish,stclareschool@eircom.net,33,18,51
Clare,Clare County Council,19414I,ST ANNES S S,CORROVORRIN,ENNIS,CO CLARE,,0656829072,CATHOLIC,N,N,No Irish,anneinis@iol.ie,56,23,79
Cork,Cork County Council,18208A,OUR LADY OF GOOD COUNSEL NS,BALLINCOLLIG,CO CORK,,,0214878370,CATHOLIC,N,N,No Irish,principalolgc@eircom.net,48,20,68
Cork,Cork City Council,18458A,ST BERNADETTES SPEC SCH,BONNINGTON,MONTENOTTE,CO CORK,,0214507131,CATHOLIC,N,N,No Irish,office@scoilbernadette.com,75,37,112
Cork,Cork City Council,18483W,SCHOOL OF THE DIVINE CHILD (Scoil an Linbh êosa),BALLINTEMPLE,CO CORK,,,0214294803,CATHOLIC,N,N,No Irish,divinechild@eircom.net,12,7,19
Cork,Cork City Council,18586J,SCOIL EANNA,MONTENOTTE,CORK,,,0214507131,CATHOLIC,N,N,No Irish,scoileannans@gmail.com,31,15,46
Cork,Cork City Council,19203S,NMH POL SPECIAL SCHOOL,MONTENOTTE,CORK,,,0214507131,CATHOLIC,N,N,No Irish,,50,46,96
Cork,Cork City Council,19410A,ST KILLIANS SPEC SCH,ADJ TO: BISHOPSTOWN COMM SCH,WESTGATE ROAD,BISHOPSTOWN,CORK,0214865839,CATHOLIC,N,N,No Irish,,51,16,67
Cork,Cork County Council,19433M,HOLY FAMILY S S,CHARLEVILLE,CO CORK,,,06381621,CATHOLIC,N,N,No Irish,hfslaptop@eircom.net,51,18,69
Cork,Cork County Council,19759T,ST MARYS SPEC SCH,ROCHESTOWN,CORK,,,0214891431,CATHOLIC,N,N,No Irish,marysschool.ias@eircom.net,35,22,57
Cork,Cork County Council,19760E,SCOIL TRIEST,LOTA,CORK,,,0214822916,CATHOLIC,N,N,No Irish,triestspecialschool@eircom.net,61,11,72
Cork,Cork City Council,19788D,ST KEVINS SCHOOL,THE RECTORY,INFIRMARY ROAD,CORK,,0214966647,CATHOLIC,N,N,No Irish,yepcork.ias@eircom.net,13,2,15
Cork,Cork City Council,20074R,ST GABRIELS SPECIAL SCHOOL,CURRAHEEN ROAD,CORK,,,0214544068,CATHOLIC,N,N,No Irish,stgab.ias@eircom.net,29,8,37
Cork,Cork City Council,20119N,CORK UNIVERSITY HOS SCHOOL,CHILDRENS WARD,WILTON,CORK,,0214346450,CATHOLIC,N,,No Irish,scoilcuh@hotmail.com,17,13,30
Cork,Cork County Council,20162O,SONAS SPECIAL PRIMARYJUNIOR SCHOOL,CARRIGALINE,CO. CORK,,,0214377839,OTHER/UNKNOWN,N,N,No Irish,sonascork@eircom.net,20,4,24
Cork,Cork City Council,20331L,Scoil Aisling,Boreenmanna Road,Cork,,,0214961367,OTHER/UNKNOWN,N,N,No Irish,gerprendeville@gmail.com,20,8,28
Cork,Cork City Council,20354A,Cara Junior School,C/o Brothers of Charity,Southern Services,Administrative Centre,"Lota, Glanmire Co Cork",,CATHOLIC,N,N,No Irish,,20,5,25
Donegal,Donegal County Council,19592J,ST BERNADETTE SPEC SCH,LETTERKENNY,CO DONEGAL,,,0749122512,CATHOLIC,N,N,No Irish,berna.ias@eircom.net,52,21,73
Donegal,Donegal County Council,19724A,LITTLE ANGELS SPEC SCH,KNOCKNAMONA,LETTERKENNY,CO DONEGAL,,0749122456,CATHOLIC,N,N,No Irish,littleangelsschool@eircom.net,36,18,54
Dublin,Dublin City Council,16864B,ST JOSEPHS SPECIAL SCH,CABRA,DUBLIN 7,,,018380058,CATHOLIC,N,N,No Irish,stjosephscabra@eircom.net,53,0,53
Dublin,Dublin City Council,17890H,TEMPLE ST HOSPITAL N S,TEMPLE STREET,DUBLIN 1,,,018784338,CATHOLIC,N,N,No Irish,mary.chambers@cuh.ie,26,17,43
Dublin,Dublin City Council,17944E,ST MARYS SCHOOL FOR DEAF GIRLS,DOMINICAN CONVENT,CABRA,DUBLIN 7,,018385359,CATHOLIC,N,N,No Irish,,6,66,72
Dublin,Dublin City Council,17971H,ST MICHAELS SPEC SCHOOL,GLENMAROON,CHAPELIZOD,DUBLIN 20,,018201859,CATHOLIC,N,N,No Irish,,87,77,164
Dublin,Fingal County Council,18210K,St Michaels House Special School,BALDOYLE,DUBLIN 13,,,018323056,CATHOLIC,N,N,No Irish,timcmaher@eircom.net,27,29,56
Dublin,Dublin City Council,18317F,CENTRAL REMEDIAL CLINIC,VERNON AVENUE,CLONTARF,DUBLIN 3,,018057430,CATHOLIC,N,N,No Irish,ajackson@crc.ie,67,42,109
Dublin,Dublin City Council,18370J,Enable Ireland Sandymount School,INCHINNE,SANDYMOUNT AVENUE,DUBLIN 4,,012615907,CATHOLIC,N,N,No Irish,office@sandymountschool.ie,32,20,52
Dublin,Dublin City Council,18417J,ST JOSEPHS FOR BLIND NS,ST JOSEPHS SCHOOL FOR,VISUALLY IMPAIRED BOYS,DRUMCONDRA,DUBLIN 9,018373696,CATHOLIC,N,N,No Irish,principal@stjosephsprimaryvi.ie,19,22,41
Dublin,Dun Laoghaire Rathdown,18499O,ST AUGUSTINES SCHOOL,OBELISK PARK,BLACKROCK,CO DUBLIN,,012881771,CATHOLIC,N,N,No Irish,john.kingston@sjog.ie,97,63,160
Dublin,Dublin City Council,18569J,ST DECLANS SPECIAL SCH,35 NORTHUMBERLAND ROAD,BALLSBRIDGE,DUBLIN 4,,016678144,CATHOLIC,N,N,No Irish,stdeclan@iol.ie,43,5,48
Dublin,Dun Laoghaire Rathdown,18671A,ST MICHAELS HSE SPEC SC,Oakhill,Leopardstown,Foxrock,Dublin 18,014978995,CATHOLIC,N,N,No Irish,teresa.mcgann@smh.ie,38,25,63
Dublin,Dublin City Council,18763F,ST MICHAELS HSE SPEC SC,BALLYMUN RD,DUBLIN 9,,,018840326,CATHOLIC,N,N,No Irish,,32,22,54
Dublin,Dublin City Council,18788V,OUR LADYS HOSPITAL SP S,CRUMLIN,DUBLIN 12,,,014096414,CATHOLIC,N,N,No Irish,,27,19,46
Dublin,Dun Laoghaire Rathdown,18815V,OUR LADY OF LOURDES SCHOOL,ROCHESTOWN AVE,DUN LAOGHAIRE,CO DUBLIN,,012847239,CATHOLIC,N,N,No Irish,nrh.school@nrh.ie,7,6,13
Dublin,Dun Laoghaire Rathdown,18863J,BENINCASA SPECIAL SCHOOL,1 MOUNT MERRION AVE,BLACKROCK,CO DUBLIN,,012887066,CATHOLIC,N,N,No Irish,benincasa.ias@eircom.net,46,2,48
Dublin,Dublin City Council,18904U,ST PETERS SPECIAL SCH,LUCENA CLINIC,59 ORWELL ROAD,DUBLIN 6,,014923596,CATHOLIC,N,N,No Irish,,50,10,60
Dublin,South Dublin County Council,19032R,STEWARTS SCHOOL,PALMERSTOWN,DUBLIN 20,,,016267526,CATHOLIC,N,N,No Irish,school@stewartscare.ie,84,42,126
Dublin,Dublin City Council,19039I,ST VINCENTS HOME NS,NAVAN RD,DUBLIN 7,,,018245492,CATHOLIC,N,N,No Irish,principalstvincents@eircom.net,50,19,69
Dublin,Dublin City Council,19151C,ST JOHN OF GOD SP SCH,ISLANDBRIDGE,DUBLIN 8,,,016774022,CATHOLIC,N,N,No Irish,info@stjohnofgodschool.com,64,28,92
Dublin,South Dublin County Council,19207D,THE ADELAIDE & MEATH HOSPITAL,INCORPORATING THE NATIONAL,CHILDRENS HOSPITAL SPECIAL SCHOOL,TALLAGHT,DUBLIN 24,014142169,CATHOLIC,N,N,No Irish,nchschool@eircom.net,7,6,13
