COUNTY,RollNo,SCHOOL NAME,ADDRESS LINE 1,ADDRESS LINE 2,0-9,10-19,20-24,25-29,30-34,35-39,40and over,Total Pupils,Walking admin principal,Full-time equivalent mainstream class teachers,Other teachers full-time,Other teachers part-time,,,,,
CARLOW,00651R,BORRIS MXD N S,BORRIS,CO CARLOW,,18,42,108,31,,,199,1,8,2,0,,,,,
CARLOW,00977B,BALLYCONNELL N S,Ballyconnell,Tullow,,,43,,122,,,165,0,6,1,0,,,,,
CARLOW,01116A,BAILE AN CHUILINN N S,MUINEBEAG,CO CARLOW,,,23,54,32,,,109,0,4,2,0,,,,,
CARLOW,01215C,NEWTOWN DUNLECKNEY MXD,MUINEBEAG,CO CARLOW,,,92,,31,,,123,0,5,2,0,,,,,
CARLOW,01415K,RATHOE NS,RATHOE,CO CARLOW,,35,20,108,,,,163,1,7,2,0,,,,,
CARLOW,02124E,SCOIL NAIS MOLAISE,OLD LEIGHLIN,VIA BILBOA,,18,43,78,,,,139,0,6,2,0,,,,,
CARLOW,04077I,SCOIL NAIS BHRIDE,GRANGE,TULLOW,,,24,54,34,,,112,0,4,1,0,,,,,
CARLOW,09320Q,SCOIL NAIS MHUIRE,DROIMFEIGH,BAGENALSTOWN,,16,24,53,,,,93,0,4,0,0,,,,,
CARLOW,11135K,ST MARYS N S,MUINEBEAG,CO CARLOW,,18,42,27,,,,87,0,4,1,0,,,,,
CARLOW,13105L,ST BRIDGETS MONASTERY,MUINEBEAG,CO CARLOW,,19,45,28,30,,,122,0,5,2,0,,,,,
CARLOW,13507I,S N MUIRE LOURDES,TULLOW,CO CARLOW,,71,70,80,,,,221,1,10,3,0,,,,,
CARLOW,13607M,ST COLUMBAS N S,TULLOW,CO CARLOW,,,43,28,,,,71,0,3,1,1,,,,,
CARLOW,14837L,S N PEADAR AGUS POL,BALLON,CO CARLOW,,,89,58,67,35,,249,1,9,2,0,,,,,
CARLOW,16080N,S N PHADRAIG NAOFA,PATRICIAN BROTHERS,TULLOW,,,46,107,61,,,214,1,8,4,0,,,,,
CARLOW,16938E,FR CULLEN MEMORIAL N S,TINRYLAND,CO CARLOW,,,,137,32,,,169,0,6,1,1,,,,,
CARLOW,17053P,BISHOP FOLEY MEMORIAL SCHOOL,Station Road,Co Carlow,,,,271,,,,271,1,10,5,0,,,,,
CARLOW,17096K,S N NMH FHINGIN,GARRYHILL,MUINEBHEAG,,16,20,,,,,36,0,2,0,0,,,,,
CARLOW,17127S,ST JOSEPHS NS,HACKETSTOWN,CO CARLOW,,35,90,,,,,125,0,6,2,0,,,,,
CARLOW,17330P,SCOIL N MOLING-GLYNN,ST MULLINS,KILKENNY,,36,23,,,,,59,0,3,1,0,,,,,
CARLOW,17462J,SCOIL NAIS MHICHIL,BAILE NUA,BORRIS,,,42,,,,,42,0,2,0,0,,,,,
CARLOW,17481N,ST BRENDANS N S,DRUMMOND,ST MULLINS,8,12,,,,,,20,0,2,0,0,,,,,
CARLOW,17501Q,Bennekerry National School,Bennekerry,Co Carlow,,,41,269,32,,,342,1,13,3,0,,,,,
CARLOW,17514C,S N CLUAIN NA GALL,CLONEGAL,ENNISCORTHY,,,,82,30,,,112,0,4,1,0,,,,,
