"Number of pupils in each class at individual national school level, 2011/2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: The data contained in this sheet is sourced from the 2011/2012 Census of Primary Schools and refers to pupils in mainstream classes only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Class No. 1,Class No. 2,Class No. 3,Class No. 4,Class No. 5,Class No. 6,Class No. 7,Class No. 8,Class No. 9,Class No. 10,Class No. 11,Class No. 12,Class No. 13,Class No. 14,Class No. 15,Class No. 16,Class No. 17,Class No. 18,Class No. 19,Class No. 20,Class No. 21,Class No. 22,Class No. 23,Class No. 24,Class No. 25,Class No. 26,Class No. 27,Class No. 28,Class No. 29,Class No. 30,Class No. 31,Class No. 32,Class No. 33,Class No. 34,Class No. 35
COUNTY,RollNo,SCHOOL,ADDRESS1,ADDRESS2,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils
CARLOW,00651R,BORRIS MXD N S,BORRIS,CO CARLOW,18,27,29,31,27,20,25,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLOW,00977B,BALLYCONNELL N S,Ballyconnell,Tullow,23,31,30,20,30,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLOW,01116A,BAILE AN CHUILINN N S,MUINEBEAG,CO CARLOW,27,27,32,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLOW,01215C,NEWTOWN DUNLECKNEY MXD,MUINEBEAG,CO CARLOW,20,24,24,24,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLOW,01415K,RATHOE NS,RATHOE,CO CARLOW,20,19,16,25,27,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLOW,02124E,SCOIL NAIS MOLAISE,OLD LEIGHLIN,VIA BILBOA,23,20,28,18,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLOW,04077I,SCOIL NAIS BHRIDE,GRANGE,TULLOW,26,24,34,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLOW,09320Q,SCOIL NAIS MHUIRE,DROIMFEIGH,BAGENALSTOWN,24,26,27,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLOW,11135K,ST MARYS N S,MUINEBEAG,CO CARLOW,27,21,18,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLOW,13105L,ST BRIDGETS MONASTERY,MUINEBEAG,CO CARLOW,28,19,24,21,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLOW,13507I,S N MUIRE LOURDES,TULLOW,CO CARLOW,23,19,23,26,27,27,24,19,16,17,,,,,,,,,,,,,,,,,,,,,,,,,
CARLOW,13607M,ST COLUMBAS N S,TULLOW,CO CARLOW,22,28,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLOW,14837L,S N PEADAR AGUS POL,BALLON,CO CARLOW,22,21,29,33,22,24,29,35,34,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLOW,16080N,S N PHADRAIG NAOFA,PATRICIAN BROTHERS,TULLOW,25,25,22,24,30,29,28,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLOW,16938E,FR CULLEN MEMORIAL N S,TINRYLAND,CO CARLOW,28,32,28,28,27,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLOW,17053P,BISHOP FOLEY MEMORIAL SCHOOL,Station Road,Co Carlow,26,26,26,26,28,28,27,29,29,26,,,,,,,,,,,,,,,,,,,,,,,,,
CARLOW,17096K,S N NMH FHINGIN,GARRYHILL,MUINEBHEAG,20,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLOW,17127S,ST JOSEPHS NS,HACKETSTOWN,CO CARLOW,16,20,22,24,19,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLOW,17330P,SCOIL N MOLING-GLYNN,ST MULLINS,KILKENNY,18,18,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLOW,17462J,SCOIL NAIS MHICHIL,BAILE NUA,BORRIS,22,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLOW,17481N,ST BRENDANS N S,DRUMMOND,ST MULLINS,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLOW,17501Q,Bennekerry National School,Bennekerry,Co Carlow,27,28,26,27,26,25,28,26,21,20,27,32,29,,,,,,,,,,,,,,,,,,,,,,
CARLOW,17514C,S N CLUAIN NA GALL,CLONEGAL,ENNISCORTHY,30,26,29,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLOW,17663T,ST PATRICKS N S,RATHVILLY,CO CARLOW,28,25,24,24,22,30,30,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLOW,17669I,S N TREASA NAOMHA,CILL TEAGAIN,CO CILLE MANNTAIN,23,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLOW,17756D,BALLINABRANNA MXD N S,MILFORD,CO CARLOW,24,29,29,27,25,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLOW,17796P,Our Lady's National School,Nurney,Carlow,23,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLOW,17994T,S N FHOIRTCHEIRN/FHININ,MIDHISEAL,CO CEATHARLACH,20,30,36,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLOW,18024N,SCOIL MUIRE GAN SMAL,ARD AITINN,CO CEATHARLACH,22,29,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLOW,18090D,S N CILL DAMHAIN,CILL DAMHAIN,INIS CORTHAIGH,23,24,24,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLOW,18183K,QUEEN OF UNIVERSE N S,MUINEBHEAG,CO CARLOW,25,26,30,24,25,26,25,27,26,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLOW,18363M,S N MUIRE GAN SMAL,GREEN LANE,CARLOW,31,31,28,28,26,25,26,26,24,28,28,27,29,29,31,32,,,,,,,,,,,,,,,,,,,
CARLOW,18424G,SCOIL NAIS IOSEF NAOFA,CARLOW,CO CARLOW,26,28,27,26,22,20,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLOW,18510W,St Patrick's National School,Ballymurphy,Borris,16,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLOW,18609S,S N FIONTAIN NAOFA,RATHMORE,TULLOW,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLOW,18615N,S N CEATHARLACH,GREEN ROAD,CARLOW,23,25,29,30,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLOW,19477J,HOLY FAMILY B N S,ASKEA,CARLOW,19,18,26,28,25,26,21,23,28,28,27,27,31,31,,,,,,,,,,,,,,,,,,,,,
CARLOW,19478L,Holy Family Girls N S,ASKEA,CARLOW,16,14,28,25,24,25,27,26,32,30,31,30,31,34,,,,,,,,,,,,,,,,,,,,,
CARLOW,19784S,ST LASERIANS MXD NS,LEIGHLINBRIDGE,CO CARLOW,23,30,30,21,25,25,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLOW,19811S,S N EOGHAN UI THUAIRISC,BOTHAR PHOLLERTON,CARLOW,21,21,21,32,31,29,29,29,30,31,30,30,31,29,30,28,27,,,,,,,,,,,,,,,,,,
CARLOW,19958C,S.N. NAOMH FHIACH,GRAIGUECULLEN,CO CARLOW,25,24,28,28,26,25,24,33,29,26,25,26,27,28,22,22,23,30,32,,,,,,,,,,,,,,,,
CAVAN,01356U,KILNALECK MIXED N S,KILNALECK,CO CAVAN,29,22,25,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
