Local Authority,Roll Number,Official School Name,Address 1,Address 2,Address 3,Address 4,Phone,Principal Name,Ethos/Religion,School Gender - Post Primary,Irish Classification - Post Primary,Female Enrolment,Male Enrolment,Total Enrolment
Carlow County Council,61120E,St Mary's Academy CBS,Station Rd,Carlow,,,0599142419,MR. PAUL FIELDS,CATHOLIC,Boys,No subjects taught through Irish,,544,544
Carlow County Council,61130H,St Mary's Knockbeg College,Knockbeg,Co. Carlow,,,0599142127,MR. CYRIL HUGHES,CATHOLIC,Boys,No subjects taught through Irish,,367,367
Carlow County Council,61140K,St. Leo's College,Dublin Road,Carlow,,,0599143660,MISS CLARE RYAN,CATHOLIC,Girls,No subjects taught through Irish,931,,931
Carlow County Council,61141M,Presentation College,Askea,Carlow,Co. Carlow,,0599143927,MR. RAYMOND MURRAY,CATHOLIC,Mixed,No subjects taught through Irish,259,273,532
Carlow County Council,61150N,Presentation / De La Salle College,Royal Oak Road,Muine Bheag,Co. Carlow,,0599721860,MR. GERARD WATCHORN,CATHOLIC,Mixed,No subjects taught through Irish,196,200,396
Carlow County Council,70400L,Borris Vocational School,Borris,Co Carlow,,,0599773155,Mr John O'Sullivan,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,235,267,502
Carlow County Council,70410O,Coláiste Eoin,Hacketstown,Co Carlow,,,0596471198,Mr Michael Daly,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,105,130,235
Carlow County Council,70420R,Carlow Vocational School,Kilkenny Road,Carlow,Co. Carlow,,0599131187,Markita Mulvey,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,632,440,1072
Carlow County Council,70430U,Vocational School Muine Bheag,Muine Bheag,Co Carlow,,,0599721335,David O'Flaherty,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,131,113,244
Carlow County Council,70440A,Gaelcholáiste Cheatharlach,Easca,Ceatharlach,,,0599132130,Gearóidín Ní Chonghaile,INTER DENOMINATIONAL,Mixed,All pupils taught all subjects through Irish,168,167,335
Carlow County Council,91356F,Tullow Community School,The Mullawn,Tullow,Co. Carlow,,0599151473,MR. PAUL THORNTON,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,297,302,599
Cavan County Council,61051L,St Clare's College,Ballyjamesduff,Co. Cavan,,,0498544551,MR. SEAN FEGAN,CATHOLIC,Mixed,No subjects taught through Irish,233,229,462
Cavan County Council,61060M,St Patrick's College,Cavan,Co. Cavan,,,0494361888,MR. LIAM. MC NIFFE,CATHOLIC,Boys,No subjects taught through Irish,,575,575
Cavan County Council,61070P,Loreto College,Cavan,Co. Cavan,,,0494332881,MS. MARY ANGELA MC GARVEY,CATHOLIC,Girls,No subjects taught through Irish,714,,714
Cavan County Council,61080S,Royal School Cavan,College Street,Cavan,Co. Cavan,,0494361605,MR. EDWARD LINDSAY,CHURCH OF IRELAND,Mixed,No subjects taught through Irish,109,131,240
Cavan County Council,70350W,St Bricin's Vocational School,Belturbet,Co Cavan,,,0499522170,Mary Sheridan,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,75,112,187
Cavan County Council,70360C,St. Mogue's College,Bawnboy,Belturbet,Co Cavan,,0499523112,Ann Conaghan,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,69,104,173
Cavan County Council,70380I,Breifne College,Cootehill Rd,Cavan,Co Cavan,,0494331735,Mr John Crotty,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,263,353,616
